Timestamp,InDataset,Backbone,MethodTag,Epochs,LR,ForgetLambda,Batch,WD,Cache,K,ProtoM,UseLoRA,LoRA_r,LoRA_alpha,LoRA_dropout,LoRA_target,BatchForgetMode,Temp,AdapterPath,PretrainCkpt,OODs,AVG-FPR,AVG-AUROC,Forget-FPR,Forget-AUROC,Forget-AUIN,Retain-Acc,Score
2025-11-14T03:46:49Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,5,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",39.84,89.96,54.70,89.29,98.64,74.83,57.66
2025-11-14T03:54:37Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,10,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",39.84,89.96,54.80,89.28,98.64,74.90,57.62
2025-11-14T04:02:25Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,15,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",39.93,89.89,54.50,89.36,98.65,74.92,57.66
2025-11-14T04:11:23Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,20,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",43.08,89.15,50.40,90.15,98.73,74.89,57.39
2025-11-14T04:21:18Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,25,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",49.59,87.46,41.50,91.80,98.93,74.72,56.86
2025-11-14T04:31:45Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,30,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",48.83,87.59,38.10,92.32,98.99,74.61,59.05
2025-11-14T04:42:23Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,35,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",47.46,87.93,36.10,92.51,99.01,74.54,61.06
2025-11-14T04:54:09Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,40,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",47.36,88.01,36.40,92.54,99.01,74.47,61.02
2025-11-14T05:06:35Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,45,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",47.00,88.09,36.70,92.51,99.01,74.42,61.12
2025-11-14T05:20:19Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs,50,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-lambda0.2-epochgrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",44.35,88.75,37.20,92.20,98.96,74.26,62.83
