Timestamp,InDataset,Backbone,MethodTag,Epochs,LR,LambdaPcon,LoRA_r,AdapterRoot,FinalStage,AVG-AUROC,AVG-FPR,Final-Top1,Average,Score
2025-11-14T07:23:19Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.5-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,0.5,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.5-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,89.40,46.01,0.6680,0.7552,71.43
2025-11-14T08:21:09Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.6-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,0.6,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.6-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,89.39,45.98,0.6680,0.7550,71.43
2025-11-14T09:19:47Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.7-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,0.7,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.7-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,38.41,0.6710,0.7547,73.68
2025-11-14T10:18:41Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.8-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,0.8,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.8-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.60,39.50,0.6730,0.7541,73.45
2025-11-14T11:16:11Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.9-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,0.9,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon0.9-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.61,39.24,0.6725,0.7541,73.51
2025-11-14T12:12:53Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.0-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.0,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.0-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,39.22,0.6735,0.7535,73.51
2025-11-14T13:10:53Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.58,39.33,0.6745,0.7538,73.52
2025-11-14T14:07:47Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.2,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,39.39,0.6735,0.7532,73.46
2025-11-14T15:03:28Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.3-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.3,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.3-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,39.29,0.6730,0.7532,73.47
2025-11-14T16:01:24Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.4-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.4,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.4-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.57,39.21,0.6730,0.7532,73.49
2025-11-14T16:58:47Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.5-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1.5,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1.5-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,39.31,0.6740,0.7538,73.51
