Timestamp,InDataset,Backbone,MethodTag,Epochs,LR,LambdaPcon,LoRA_r,AdapterRoot,FinalStage,AVG-AUROC,AVG-FPR,Final-Top1,Average,Score
2025-11-14T06:56:27Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,5,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,89.08,43.40,0.6215,0.7266,70.12
2025-11-14T07:27:39Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,10,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.70,41.09,0.6060,0.7215,70.59
2025-11-14T08:01:56Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,15,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,91.11,39.47,0.6190,0.7214,71.42
2025-11-14T08:40:08Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,20,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,91.75,36.03,0.6280,0.7197,72.62
2025-11-14T09:21:33Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,25,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,91.31,36.66,0.6410,0.7287,72.91
2025-11-14T10:06:00Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,30,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.32,39.03,0.6515,0.7367,72.53
2025-11-14T10:53:45Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,35,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.73,36.90,0.6600,0.7418,73.50
2025-11-14T11:44:20Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,40,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.89,37.99,0.6615,0.7460,73.41
2025-11-14T12:39:28Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,45,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.82,38.96,0.6710,0.7503,73.50
2025-11-14T13:37:46Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,50,0.001,1,8,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmnone-pcon1-lora_r8a32d0.05-temp0.08-ol1-continual-from-c80-to-CIFAR-100-palm_mle_all-pcon_split-stack,4,90.56,39.35,0.6740,0.7538,73.50
