Methods,SVHN-FPR,SVHN-AUROC,places365-FPR,places365-AUROC,LSUN-FPR,LSUN-AUROC,iSUN-FPR,iSUN-AUROC,dtd-FPR,dtd-AUROC,AVG-FPR,AVG-AUROC
top5-palm-cache6-ema0.999,5.1475107559926245,99.04195240473264,75.28,81.76322199999998,46.72,92.37722749999999,67.05882352941175,87.30423921568628,46.790780141843975,91.08602570921987,48.19942288544968,90.31453336592776
top5-palm-cache6-ema0.999,36.916103257529194,93.5115574537632,88.1,71.41185636363636,87.55,82.23985363636363,94.40896358543417,66.55105576776165,73.45744680851064,79.31920212765958,76.0865027302948,78.60670506983689
top5-palm-cache6-ema0.999,5.9350030731407495,98.6272144074426,84.47,74.11453363636363,68.19,85.09473909090907,79.13725490196079,79.50308734402851,63.351063829787236,82.87546905222437,60.21666436097777,84.04300870619365
top5-palm-cache6-ema0.999,2.704363859864782,99.3621399536235,64.38000000000001,81.48732999999999,20.25,96.0301927272727,31.80952380952381,93.25776827094474,37.5531914893617,91.55847840103158,31.33941583175006,92.33918187057452
top5-palm-cache6-ema0.999,2.704363859864782,99.3621399536235,64.38000000000001,81.48732999999999,20.25,96.0301927272727,31.80952380952381,93.25776827094474,37.5531914893617,91.55847840103158,31.33941583175006,92.33918187057452
top5-palm-cache6-ema0.999,16.452827289489857,96.30238622394815,78.97,77.96109181818183,65.67,85.50743090909091,69.65826330532214,86.40152686529157,52.99645390070922,88.45904577691812,56.74950889910424,86.92629631868613
top5-palm-cache6-ema0.999,2.4738783036263063,99.461709364698,76.21,78.57892636363637,22.5,96.16683,46.128851540616246,90.11168525592056,39.680851063829785,90.85485332043842,37.398716181614475,91.03480086093866
top5-palm-cache6-ema0.999,21.861555009219423,95.9689186735207,82.34,76.36227818181818,94.85,76.06228363636363,85.53501400560224,80.80644257703081,70.37234042553192,84.06670373952288,70.99178188807072,82.65332536165124
top5-palm-cache6-ema0.999,46.48125384142593,87.01194439012123,91.27,63.56737818181819,99.4,50.677657272727274,94.38655462184875,61.284182327476444,78.61702127659575,67.34879271437781,82.03096594797408,65.97799097730419
top5-palm-cache6-ema0.999,2.4738783036263063,99.461709364698,76.21,78.57892636363637,22.5,96.16683,46.128851540616246,90.11168525592056,39.680851063829785,90.85485332043842,37.398716181614475,91.03480086093866
top5-palm-cache6-ema0.999,2.162722802704364,99.49251306084818,71.72,79.1269818181818,17.07,96.36095272727272,75.02521008403362,80.99248586707411,31.241134751773046,93.22475016118634,39.4438135277022,89.83953672691264
top5-palm-cache6-ema0.999,46.48125384142593,87.01194439012123,91.27,63.56737818181819,99.4,50.677657272727274,94.38655462184875,61.284182327476444,78.61702127659575,67.34879271437781,82.03096594797408,65.97799097730419
top5-palm-cache6-ema0.999,2.861862323294407,99.26726686036767,72.89999999999999,78.41297909090909,8.74,98.12247454545457,70.68907563025209,83.08731652661065,47.5886524822695,88.46483075435204,40.5559180871632,89.47097355553879
top5-palm-cache6-ema0.999,16.218500307314073,96.71738803989496,91.35,53.61298272727273,89.67,77.21807090909091,99.49579831932773,30.02571224853578,77.05673758865248,65.77560122501612,74.75820724305886,64.66995102996209
top5-palm-cache6-ema0.999,44.3799938537185,92.83935715483042,90.67,58.267976363636365,92.36999999999999,70.87970727272727,98.89075630252101,30.7404329004329,83.40425531914893,66.09723404255318,81.9430010950777,63.76494154683604
top5-palm-cache6-ema0.999,16.218500307314073,96.71738803989496,91.35,53.61298272727273,89.67,77.21807090909091,99.49579831932773,30.02571224853578,77.05673758865248,65.77560122501612,74.75820724305886,64.66995102996209
top5-palm-cache6-ema0.999,19.913952059004302,95.75555155892049,75.75,76.86963272727272,45.07,91.93848636363636,77.71428571428571,78.26355080213904,63.56382978723404,82.40178433268859,56.40241351210481,85.04580115693143
top5-palm-cache6-ema0.999,4.7480024585126,98.91089463317874,65.83,81.86360636363636,15.8,96.65348999999999,50.24089635854342,88.85128698752229,54.04255319148936,85.22382817537073,38.13229040170908,90.30062123194163
top5-palm-cache6-ema0.999,3.5994161032575294,99.0167269654132,76.53,74.28167909090911,31.419999999999998,92.78987272727272,69.45658263305322,83.01385586962058,44.734042553191486,88.32545454545453,45.14800825790045,87.48551783973403
top5-palm-cache6-ema0.999,48.263675476336815,85.54801957031903,96.63000000000001,45.13648818181818,97.7,41.18308545454546,96.44817927170868,50.81997249809015,78.26241134751774,68.39805448098001,83.46085321911264,58.217124037150555
top5-palm-cache6-ema0.999,26.06023355869699,94.82665251159413,69.59,80.22762090909092,37.6,93.47329727272728,66.06162464985994,85.34612375859435,53.705673758865245,87.71858478401032,50.60350639348443,88.3184558472034
top5-palm-cache6-ema0.999,10.852028272894898,97.66435017041961,70.38,77.72868272727274,58.650000000000006,85.41922,68.82913165266106,85.20232747644513,50.212765957446805,89.19967762733721,51.78478517660056,87.04285160029492
top5-palm-cache6-ema0.999,20.528580208973572,94.14196268927752,89.19,65.92980181818182,94.42,56.28083090909091,98.81232492997198,49.64155538579068,78.75886524822695,72.64976466795616,76.34195407743451,67.72878309405942
top5-palm-cache6-ema0.999,21.262292562999384,95.63519165223221,73.47,77.97789272727273,42.68,91.94122818181818,76.81792717086834,81.56700381970971,64.52127659574468,85.26670051579626,55.75029926592248,86.47760337936582
top5-palm-cache6-ema0.999,7.191149354640443,98.35464812538414,68.02,79.40897181818181,36.26,89.80488454545453,65.08683473389357,83.10582123758594,50.070921985815595,87.43931173436492,45.32578121486992,87.62272749219427
top5-palm-cache6-ema0.999,15.665334972341732,95.97009624518076,88.13,66.49989545454545,93.5,64.40768272727273,98.39775910364146,43.11685459638401,76.27659574468085,67.17082205029013,74.3939379641328,67.43307021473461
top5-palm-cache6-ema0.999,16.46819299323909,96.34951807565514,82.8,71.16812272727273,58.37,85.6286181818182,86.76750700280112,74.04298039215686,69.9468085106383,82.80233558994196,62.8705017013357,81.99831499336898
top5-palm-cache6-ema0.999,9.242470805162876,97.72527832877019,65.08,81.51335181818182,24.099999999999998,95.32568363636364,50.9467787114846,89.76266462948814,45.177304964539005,90.671889103804,38.909310896237294,90.99977350332156
top5-palm-cache6-ema0.999,41.833128457283344,89.12169323070907,94.24,54.02206727272727,96.45,67.5431809090909,98.18487394957984,39.44055614973262,85.72695035460993,62.12086718246294,83.28699055229463,62.44967294894457
top5-palm-cache6-ema0.999,14.359250153657038,96.37626382913336,84.73,67.63512818181819,83.12,79.8585990909091,79.98879551820728,77.50527527374585,74.25531914893617,80.19397324306898,67.2906729641601,80.31384792373511
top5-palm-cache6-ema0.999,36.53964351567302,93.86198210593955,86.59,74.00586818181817,79.85,84.84079181818183,91.98879551820728,73.02814871403108,76.77304964539007,82.31986299161831,74.34829773585408,81.61133076231778
top5-palm-cache6-ema0.999,21.29302397049785,94.36692602112086,92.67999999999999,64.6276109090909,96.76,75.13874545454546,96.99719887955182,55.05120244461421,77.74822695035462,68.4133043197937,77.09568996008086,71.51955782983302
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.1-lora_r8a32d0.05,7.629071911493547,98.60974915488629,82.95,75.772941,32.29,94.87985699999999,86.95798319327731,76.22135462184875,54.184397163120565,87.8715815602837,60.25190871131524,83.99759388950311
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-splitpcon-old100,3.607098955132145,99.14930295580264,83.57,75.84452999999999,33.58,93.1910690909091,84.49299719887955,77.41949681690858,33.40425531914894,91.33806737588654,47.730870294632126,87.38849324790138
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage1-inc1,2.5507068223724647,99.2787225246583,71.49,79.13106666666667,18.790000000000003,95.63031142857143,73.22128851540616,81.44885474189675,35.1063829787234,91.44322357311721,40.2316756633004,89.38643578698209,90.0,71.11659047619048,70.62857142857143
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage1-inc1,2.5507068223724647,99.27877849972194,71.48,79.1302,18.75,95.62854571428572,73.19887955182072,81.44020488195278,35.0531914893617,91.44277271192165,40.20655557271098,89.38410036157642,89.8,71.1156,70.62857142857143
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage1-seen,2.5507068223724647,99.2787225246583,71.49,79.13106666666667,18.790000000000003,95.63031142857143,73.22128851540616,81.44885474189675,35.1063829787234,91.44322357311721,40.2316756633004,89.38643578698209,90.0,71.11659047619048,70.62857142857143
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage1-seen,2.5507068223724647,99.27877849972194,71.48,79.1302,18.75,95.62854571428572,73.19887955182072,81.44020488195278,35.0531914893617,91.44277271192165,40.20655557271098,89.38410036157642,89.8,71.1156,70.62857142857143
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-inc1,5.112937922556853,98.83654110691603,75.77000000000001,78.35416285714285,22.79,94.79172571428572,72.2016806722689,82.27012831799388,47.92553191489362,88.25495271867612,44.76003010194388,88.50150214300291,91.60000000000001,70.18716190476191,69.13333333333334
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-inc1,9.695759065765213,97.84230983112359,79.31,77.85581619047619,47.39,90.00872761904763,71.74229691876751,83.55422595704948,67.73049645390071,82.87075650118203,55.17371048768669,86.42636721977578,90.2,69.54182857142857,67.85714285714286
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-inc2,8.804548248309771,97.9051021453449,76.89,78.8574,42.9,90.34113428571429,68.48179271708683,84.41769454448446,65.70921985815603,82.83473319824384,52.55711216471053,86.8712128347575,88.2,71.71453333333334,66.56190476190477
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-inc2,4.878610940381069,98.8434143325431,72.99,79.26316857142857,21.55,94.87462666666666,69.47899159663865,82.96979058289983,46.56028368794326,88.29180513340087,43.09157724499259,88.84856105738781,95.8,70.04580952380952,68.32380952380952
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-seen,13.752304855562386,97.21043600184387,77.94,78.967915,62.45,87.56154,70.82352941176471,84.13613669467786,77.00354609929077,80.32557269503546,60.39387607332358,85.64032007831145,83.89999999999999,76.47058,71.53
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-seen,6.891518131530424,98.49460049170251,74.16,79.314136,30.29,93.587996,70.70028011204482,82.72987563025211,62.18085106382979,85.68925177304963,48.844529861481014,87.96317197900085,86.5,76.95033,73.25
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage1-inc1-inc,1.4251690227412417,99.6547480024585,58.10999999999999,89.07227999999999,10.74,96.8482,69.87114845938376,85.50023529411764,18.404255319148934,96.01088652482271,31.710114560254787,93.41726996427975,74.6,74.6,nan,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage1-inc1-inc,1.4251690227412417,99.65473263675476,58.13,89.07221999999999,10.75,96.84812000000001,69.88235294117648,85.50057142857142,18.404255319148934,96.01081560283686,31.718355456613335,93.41729193363261,74.6,74.6,nan,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage1-seen-inc,1.4251690227412417,99.6547480024585,58.10999999999999,89.07227999999999,10.74,96.8482,69.87114845938376,85.50023529411764,18.404255319148934,96.01088652482271,31.710114560254787,93.41726996427975,74.6,74.6,nan,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage1-seen-inc,1.4251690227412417,99.65473263675476,58.13,89.07221999999999,10.75,96.84812000000001,69.88235294117648,85.50057142857142,18.404255319148934,96.01081560283686,31.718355456613335,93.41729193363261,74.6,74.6,nan,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-inc1-inc,1.4251690227412417,99.65476336816226,58.120000000000005,89.07218000000002,10.75,96.84823999999999,69.88235294117648,85.50034733893558,18.404255319148934,96.01088652482271,31.716355456613332,93.4172834463841,74.6,74.6,74.6,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-inc2-inc,0.9949293177627536,99.73399277811924,62.470000000000006,86.79487000000002,9.42,97.52787,69.50140056022408,85.14631932773109,16.170212765957448,96.56617021276595,31.711308528788862,93.15384446372326,62.3,67.80000000000001,56.8,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-inc1-inc,1.4904732636754763,99.67665181315304,59.330000000000005,86.96065999999998,13.56,97.49334000000002,74.47619047619047,85.08425770308124,14.822695035460992,97.11975177304963,32.73587175506539,93.26693225785678,72.39999999999999,72.39999999999999,72.39999999999999,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-seen-inc,0.9949293177627536,99.73399277811924,62.470000000000006,86.79487000000002,9.42,97.52787,69.50140056022408,85.14631932773109,16.170212765957448,96.56617021276595,31.711308528788862,93.15384446372326,62.3,67.80000000000001,56.8,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-inc2-inc,1.18700061462815,99.74955823601722,65.42,82.48137999999999,11.75,97.86791000000001,76.90756302521008,82.90448179271708,12.907801418439716,97.46131205673758,33.634473011655594,92.09292841709438,61.7,69.19999999999999,54.2,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-seen-inc,1.18700061462815,99.74955823601722,65.42,82.48137999999999,11.75,97.86791000000001,76.90756302521008,82.90448179271708,12.907801418439716,97.46131205673758,33.634473011655594,92.09292841709438,61.7,69.19999999999999,54.2,,
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage1-seen-inc,1.4251690227412417,99.65474031960665,58.120000000000005,89.07216,10.75,96.84822000000001,69.88235294117648,85.50054901960785,18.404255319148934,96.0109219858156,31.716355456613332,93.41731826500602,74.6,74.6,nan,74.6,74.6
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage1-seen-inc,1.4251690227412417,99.65474031960665,58.120000000000005,89.07216,10.74,96.84838,69.87114845938376,85.50077310924368,18.404255319148934,96.01102836879433,31.71211456025479,93.41741635952893,74.6,74.6,nan,74.6,74.6
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-stage2-seen-inc,0.9949293177627536,99.73397357098955,62.470000000000006,86.79474,9.42,97.52789999999999,69.50140056022408,85.14675630252103,16.170212765957448,96.56611702127658,31.711308528788862,93.15389737895742,62.3,67.80000000000001,56.8,62.3,68.45
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-stage2-seen-inc,1.18700061462815,99.74274738783036,64.87,82.59759000000001,11.53,97.83834999999999,76.38095238095238,83.04726050420169,12.801418439716311,97.42845744680851,33.35387428705937,92.13088106776812,61.9,69.39999999999999,54.400000000000006,61.9,68.25
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-stage1-seen-inc,8.259065765212046,98.2519053472649,51.66,88.29679999999999,13.99,97.23415999999999,36.38095238095238,93.47657142857142,26.187943262411345,94.01141843971632,27.29559228171515,94.25417104311052,86.4,86.4,nan,86.4,86.4
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-stage1-seen-inc,8.262907191149354,98.18652427781194,52.54,87.56201999999999,12.72,97.4068,38.05042016806723,92.85824089635855,24.9468085106383,94.09843971631206,27.30402717397098,94.0224049780965,87.0,87.0,nan,87.0,87.0
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-stage2-seen-inc,29.81714812538414,92.51231945298095,80.0,72.15575999999999,62.56,81.54402999999999,73.04201680672269,79.73659383753503,60.44326241134752,86.25051418439715,61.17248546869087,82.43984349498263,72.7,73.4,72.0,72.7,79.55
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-stage2-seen-inc,16.833128457283344,96.01195067609098,73.92999999999999,75.39260999999999,91.27,65.26861,74.74509803921569,77.42668907563025,63.56382978723404,84.13778368794324,64.0684112567466,79.64752868793289,72.7,73.2,72.2,72.7,79.85
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-stage3-seen-inc,19.998463429625076,95.53321040770332,82.64,68.32949333333333,54.010000000000005,84.41638666666665,78.50980392156863,76.93292250233426,48.38652482269504,88.06126477541372,56.708958434777756,82.65465553709026,62.93333333333333,59.599999999999994,64.60000000000001,62.93333333333333,74.01111111111112
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-stage3-seen-inc,11.90842040565458,97.15416666666667,80.12,65.53814666666668,50.3,83.19038666666665,80.76190476190476,70.42734640522875,31.347517730496456,92.11947990543734,50.887568579611155,81.68590526213322,64.26666666666667,58.4,67.2,64.26666666666667,74.65555555555555
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-stage4-seen-inc,16.1339889366933,96.40705477873388,87.76,62.317915,62.36000000000001,81.89537999999999,83.89915966386555,71.9196862745098,55.833333333333336,87.8525975177305,61.19729638677845,80.07852671419484,60.8,73.8,56.46666666666667,60.8,70.70833333333334
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-stage4-seen-inc,4.824830977258759,98.93075445605407,86.86,58.137925,65.42999999999999,80.04650000000001,82.47619047619048,68.28842577030812,37.96099290780142,91.01307624113475,55.51040287225012,79.28333629349939,59.050000000000004,64.60000000000001,57.199999999999996,59.050000000000004,70.75416666666666
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-no-pcon_inc-stage1-seen-inc,7.590657652120466,98.34593577135833,52.09,87.76322,13.56,97.1871,40.04481792717087,92.44179271708684,25.868794326241133,93.84081560283688,27.830853981106497,93.91577281825641,85.8,85.8,nan,85.8,85.8
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-no-pcon_inc-stage1-seen-inc,6.952980946527351,98.5024200983405,52.6,87.66821999999999,12.86,97.4051,40.627450980392155,92.44327170868347,25.549645390070925,93.95783687943262,27.718015463398082,93.9953697372913,87.0,87.0,nan,87.0,87.0
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-no-pcon_inc-stage2-seen-inc,29.851720958819918,92.62366702519977,80.46,72.62349,61.480000000000004,81.91077999999999,74.38655462184875,80.01379271708683,59.840425531914896,86.71976950354609,61.203740222516714,82.77829984916653,72.6,72.39999999999999,72.8,72.6,79.80000000000001
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-ol1-continual-from-c90-to-c110-no-pcon_inc-stage2-seen-inc,15.861247695144437,96.39708051628766,73.66,75.94627,90.41,66.66825,73.87114845938375,78.12209523809524,59.59219858156028,85.0670035460993,62.67891894721769,80.44013986009645,72.7,72.8,72.6,72.7,79.25
top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-continual-from-c90-to-c110-no-pcon_inc-stage3-seen-inc,19.410725261216964,95.68233456258963,82.25,68.46491999999999,53.37,84.56494,78.66666666666666,77.20439962651727,48.77659574468085,88.20102836879433,56.4947975345129,82.82352451158023,63.733333333333334,60.6,65.3,63.733333333333334,74.44444444444444
