Timestamp,InDataset,Backbone,MethodTag,Epochs,LR,ForgetLambda,Batch,WD,Cache,K,ProtoM,UseLoRA,LoRA_r,LoRA_alpha,LoRA_dropout,LoRA_target,BatchForgetMode,Temp,AdapterPath,PretrainCkpt,OODs,AVG-FPR,AVG-AUROC,Forget-FPR,Forget-AUROC,Forget-AUIN,Retain-Acc,Score
2025-11-12T17:02:25Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.1-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.1,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.1-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",48.69,87.54,45.70,90.57,98.76,74.66,55.28
2025-11-12T17:16:34Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",64.15,84.32,70.30,86.37,98.27,74.27,31.95
2025-11-12T17:30:30Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.3-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.3,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.3-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",46.51,87.83,56.70,88.56,98.51,74.51,51.13
2025-11-12T17:43:08Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.4-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.4,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.4-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",49.19,87.12,50.60,89.71,98.65,74.42,52.11
2025-11-12T17:56:11Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.5-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.5,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.5-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",47.07,87.58,44.60,90.34,98.72,74.43,56.63
2025-11-12T18:09:47Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.6-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.6,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.6-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",45.94,87.89,40.40,90.76,98.77,74.61,59.64
2025-11-12T18:23:17Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.7-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.7,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.7-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",45.15,88.13,39.90,91.00,98.79,74.63,60.53
2025-11-12T18:36:38Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.8-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.8,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.8-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",45.46,88.07,45.20,90.56,98.74,74.72,57.68
2025-11-12T18:50:05Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.9-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,0.9,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.9-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",44.52,88.28,42.80,90.80,98.76,74.68,59.56
2025-11-12T19:04:00Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl1.0-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs,50,0.001,1.0,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl1.0-lora_r8a32d0.05-temp0.08-epoch50-lambdagrid_runs-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",44.37,88.50,43.50,90.86,98.78,74.96,59.56
