Timestamp,InDataset,Backbone,MethodTag,Epochs,LR,ForgetLambda,Batch,WD,Cache,K,ProtoM,UseLoRA,LoRA_r,LoRA_alpha,LoRA_dropout,LoRA_target,BatchForgetMode,Temp,AdapterPath,PretrainCkpt,OODs,AVG-FPR,AVG-AUROC,Forget-FPR,Forget-AUROC,Forget-AUIN,Retain-Acc,Score
2025-11-12T16:58:18Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,5,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e5-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",39.91,89.95,54.80,89.29,98.64,74.82,57.56
2025-11-12T17:05:24Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,10,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e10-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.11,89.90,54.60,89.24,98.63,74.90,57.53
2025-11-12T17:13:02Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,15,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e15-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.18,89.80,54.40,89.17,98.62,74.92,57.49
2025-11-12T17:21:45Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,20,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e20-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.26,89.77,54.50,89.17,98.62,74.96,57.38
2025-11-12T17:30:56Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,25,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e25-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.22,89.76,54.50,89.17,98.62,74.96,57.39
2025-11-12T17:41:24Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,30,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e30-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.20,89.76,54.40,89.17,98.62,74.97,57.45
2025-11-12T17:51:59Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,35,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e35-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",40.19,89.76,54.40,89.17,98.62,74.96,57.46
2025-11-12T18:04:19Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,40,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e40-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",61.25,84.51,68.60,87.18,98.36,74.30,34.45
2025-11-12T18:17:13Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,45,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e45-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",63.28,84.31,70.90,86.47,98.28,74.28,32.08
2025-11-12T18:30:25Z,CIFAR-100,resnet34,top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2,50,0.001,0.2,128,1e-4,6,5,0.999,1,8,32,0.05,both,balanced,0.08,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-epochgrid-lambda0.2-planB_adapter,checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt,"SVHN places365 LSUN iSUN dtd",64.17,84.30,70.30,86.36,98.27,74.26,31.92
