nohup: ignoring input
/home/shaokun/anaconda3/envs/PPALM/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/home/shaokun/anaconda3/envs/PPALM/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/home/shaokun/PALM/main.py:52: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()
Namespace(in_dataset='CIFAR-100', out_datasets=['inat', 'sun50', 'places50', 'dtd'], backbone='resnet34', method='top5-palm-cache6-ema0.999', seed=1, gpu='0', epochs=100, batch_size=128, lr=0.001, weight_decay=0.0001, print_every=50, fine_tune=False, temp=0.1, cosine=True, warm=False, lr_decay_epochs='700,800,900', lr_decay_rate=0.1, layers=100, depth=40, width=4, growth=12, droprate=0.0, save_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-upper-retain.pt', load_path=None, reduce=0.5, score='mahalanobis', threshold=1.0, k=5, momentum=0.9, proto_m=0.999, cache_size=6, nviews=2, lambda_pcon=1.0, epsilon=0.05, incremental=False, use_lora=False, lora_impl='native', lora_r=8, lora_alpha=32, lora_dropout=0.05, lora_target='head', adapter_save_path=None, adapter_load_path=None, forget_classes='0,1,2,3,4,5,6,7,8,9', forget_list_path=None, forget_center_set='retain', forget_lambda=0.1, forget_margin=100.0, centers_path=None, precision_path=None, batch_forget_mode='retain_only', argument=True)
Files already downloaded and verified
resnet34-top5-palm-cache6-ema0.999: Number of model parameters: 21605312
[debug] trainable_count = 112
[debug] trainable: encoder.conv1.weight
[debug] trainable: encoder.bn1.weight
[debug] trainable: encoder.bn1.bias
[debug] trainable: encoder.layer1.0.conv1.weight
[debug] trainable: encoder.layer1.0.bn1.weight
[debug] trainable: encoder.layer1.0.bn1.bias
[debug] trainable: encoder.layer1.0.conv2.weight
[debug] trainable: encoder.layer1.0.bn2.weight
[debug] trainable: encoder.layer1.0.bn2.bias
[debug] trainable: encoder.layer1.1.conv1.weight
[debug] trainable: encoder.layer1.1.bn1.weight
[debug] trainable: encoder.layer1.1.bn1.bias
[debug] trainable: encoder.layer1.1.conv2.weight
[debug] trainable: encoder.layer1.1.bn2.weight
[debug] trainable: encoder.layer1.1.bn2.bias
[debug] trainable: encoder.layer1.2.conv1.weight
[debug] trainable: encoder.layer1.2.bn1.weight
[debug] trainable: encoder.layer1.2.bn1.bias
[debug] trainable: encoder.layer1.2.conv2.weight
[debug] trainable: encoder.layer1.2.bn2.weight
[debug] trainable: encoder.layer1.2.bn2.bias
[debug] trainable: encoder.layer2.0.conv1.weight
[debug] trainable: encoder.layer2.0.bn1.weight
[debug] trainable: encoder.layer2.0.bn1.bias
[debug] trainable: encoder.layer2.0.conv2.weight
[debug] trainable: encoder.layer2.0.bn2.weight
[debug] trainable: encoder.layer2.0.bn2.bias
[debug] trainable: encoder.layer2.0.shortcut.0.weight
[debug] trainable: encoder.layer2.0.shortcut.1.weight
[debug] trainable: encoder.layer2.0.shortcut.1.bias
[debug] trainable: encoder.layer2.1.conv1.weight
[debug] trainable: encoder.layer2.1.bn1.weight
[debug] trainable: encoder.layer2.1.bn1.bias
[debug] trainable: encoder.layer2.1.conv2.weight
[debug] trainable: encoder.layer2.1.bn2.weight
[debug] trainable: encoder.layer2.1.bn2.bias
[debug] trainable: encoder.layer2.2.conv1.weight
[debug] trainable: encoder.layer2.2.bn1.weight
[debug] trainable: encoder.layer2.2.bn1.bias
[debug] trainable: encoder.layer2.2.conv2.weight
[debug] trainable: encoder.layer2.2.bn2.weight
[debug] trainable: encoder.layer2.2.bn2.bias
[debug] trainable: encoder.layer2.3.conv1.weight
[debug] trainable: encoder.layer2.3.bn1.weight
[debug] trainable: encoder.layer2.3.bn1.bias
[debug] trainable: encoder.layer2.3.conv2.weight
[debug] trainable: encoder.layer2.3.bn2.weight
[debug] trainable: encoder.layer2.3.bn2.bias
[debug] trainable: encoder.layer3.0.conv1.weight
[debug] trainable: encoder.layer3.0.bn1.weight
[debug][warn] non-LoRA trainables detected: ['encoder.conv1.weight', 'encoder.bn1.weight', 'encoder.bn1.bias', 'encoder.layer1.0.conv1.weight', 'encoder.layer1.0.bn1.weight', 'encoder.layer1.0.bn1.bias', 'encoder.layer1.0.conv2.weight', 'encoder.layer1.0.bn2.weight', 'encoder.layer1.0.bn2.bias', 'encoder.layer1.1.conv1.weight']
  0%|          | 0/100 [00:00<?, ?it/s]/home/shaokun/PALM/trainer.py:105: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
  1%|          | 1/100 [03:56<6:30:13, 236.50s/it]  2%|▏         | 2/100 [05:00<3:40:31, 135.01s/it]  3%|▎         | 3/100 [05:32<2:22:25, 88.10s/it]   4%|▍         | 4/100 [06:02<1:44:16, 65.18s/it]  5%|▌         | 5/100 [06:31<1:22:39, 52.21s/it]  6%|▌         | 6/100 [07:14<1:16:27, 48.80s/it]  7%|▋         | 7/100 [07:45<1:06:33, 42.94s/it]  8%|▊         | 8/100 [08:14<59:29, 38.80s/it]    9%|▉         | 9/100 [08:57<1:00:37, 39.97s/it][loss] ep 0 it 0 total=12.8568 mle=6.4604 pcon=6.3964 forget=0.0000 nr=115 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 50 total=12.8442 mle=6.4479 pcon=6.3964 forget=0.0000 nr=110 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 100 total=12.7678 mle=6.3720 pcon=6.3959 forget=0.0000 nr=110 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 150 total=12.7472 mle=6.3522 pcon=6.3950 forget=0.0000 nr=115 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 200 total=12.7344 mle=6.3408 pcon=6.3936 forget=0.0000 nr=117 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 250 total=12.6949 mle=6.3030 pcon=6.3919 forget=0.0000 nr=115 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 300 total=12.6617 mle=6.2716 pcon=6.3900 forget=0.0000 nr=111 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 350 total=12.6153 mle=6.2274 pcon=6.3879 forget=0.0000 nr=116 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 9 total=12.5804 mle=6.1947 pcon=6.3857 forget=0.0000 nr=118 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 59 total=12.5028 mle=6.1192 pcon=6.3836 forget=0.0000 nr=112 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 109 total=12.4473 mle=6.0655 pcon=6.3818 forget=0.0000 nr=120 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 159 total=12.3649 mle=5.9847 pcon=6.3802 forget=0.0000 nr=110 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 209 total=12.3656 mle=5.9871 pcon=6.3785 forget=0.0000 nr=113 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 259 total=12.3158 mle=5.9392 pcon=6.3767 forget=0.0000 nr=121 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 309 total=12.3276 mle=5.9529 pcon=6.3748 forget=0.0000 nr=116 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 359 total=12.2520 mle=5.8792 pcon=6.3728 forget=0.0000 nr=113 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 18 total=12.2523 mle=5.8815 pcon=6.3707 forget=0.0000 nr=118 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 68 total=12.2549 mle=5.8862 pcon=6.3687 forget=0.0000 nr=114 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 118 total=12.2504 mle=5.8839 pcon=6.3665 forget=0.0000 nr=120 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 168 total=12.1928 mle=5.8285 pcon=6.3643 forget=0.0000 nr=119 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 218 total=12.1549 mle=5.7929 pcon=6.3620 forget=0.0000 nr=116 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 268 total=12.1171 mle=5.7574 pcon=6.3597 forget=0.0000 nr=117 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 318 total=12.1254 mle=5.7680 pcon=6.3574 forget=0.0000 nr=117 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 368 total=12.1119 mle=5.7566 pcon=6.3552 forget=0.0000 nr=115 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 3 it 27 total=12.1131 mle=5.7602 pcon=6.3529 forget=0.0000 nr=115 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 3 it 77 total=12.0423 mle=5.6917 pcon=6.3505 forget=0.0000 nr=112 nf=0 centers=None P=None dmin_norm=NA
