nohup: ignoring input
/home/shaokun/anaconda3/envs/PPALM/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/home/shaokun/anaconda3/envs/PPALM/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/home/shaokun/PALM/main.py:52: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()
Namespace(in_dataset='CIFAR-100', out_datasets=['inat', 'sun50', 'places50', 'dtd'], backbone='resnet34', method='top5-palm-cache6-ema0.999', seed=1, gpu='0', epochs=500, batch_size=512, lr=0.5, weight_decay=1e-06, print_every=50, fine_tune=False, temp=0.1, cosine=True, warm=True, lr_decay_epochs='700,800,900', lr_decay_rate=0.1, layers=100, depth=40, width=4, growth=12, droprate=0.0, save_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-upper-retain.pt', load_path=None, reduce=0.5, score='mahalanobis', threshold=1.0, k=5, momentum=0.9, proto_m=0.999, cache_size=6, nviews=2, lambda_pcon=1.0, epsilon=0.05, incremental=False, use_lora=False, lora_impl='native', lora_r=8, lora_alpha=32, lora_dropout=0.05, lora_target='head', adapter_save_path=None, adapter_load_path=None, forget_classes='0,1,2,3,4,5,6,7,8,9', forget_list_path=None, forget_center_set='retain', forget_lambda=0.1, forget_margin=100.0, centers_path=None, precision_path=None, batch_forget_mode='retain_only', umap_enable=False, umap_by='domain', umap_max_points=20000, umap_neighbors=15, umap_min_dist=0.05, umap_metric='cosine', umap_save_path=None, umap_rf_only=False, keep_cache=False, argument=True, warmup_from=0.01, warm_epochs=10, warmup_to=0.4995071754249608)
Files already downloaded and verified
resnet34-top5-palm-cache6-ema0.999: Number of model parameters: 21605312
[debug] trainable_count = 112
[debug] trainable: encoder.conv1.weight
[debug] trainable: encoder.bn1.weight
[debug] trainable: encoder.bn1.bias
[debug] trainable: encoder.layer1.0.conv1.weight
[debug] trainable: encoder.layer1.0.bn1.weight
[debug] trainable: encoder.layer1.0.bn1.bias
[debug] trainable: encoder.layer1.0.conv2.weight
[debug] trainable: encoder.layer1.0.bn2.weight
[debug] trainable: encoder.layer1.0.bn2.bias
[debug] trainable: encoder.layer1.1.conv1.weight
[debug] trainable: encoder.layer1.1.bn1.weight
[debug] trainable: encoder.layer1.1.bn1.bias
[debug] trainable: encoder.layer1.1.conv2.weight
[debug] trainable: encoder.layer1.1.bn2.weight
[debug] trainable: encoder.layer1.1.bn2.bias
[debug] trainable: encoder.layer1.2.conv1.weight
[debug] trainable: encoder.layer1.2.bn1.weight
[debug] trainable: encoder.layer1.2.bn1.bias
[debug] trainable: encoder.layer1.2.conv2.weight
[debug] trainable: encoder.layer1.2.bn2.weight
[debug] trainable: encoder.layer1.2.bn2.bias
[debug] trainable: encoder.layer2.0.conv1.weight
[debug] trainable: encoder.layer2.0.bn1.weight
[debug] trainable: encoder.layer2.0.bn1.bias
[debug] trainable: encoder.layer2.0.conv2.weight
[debug] trainable: encoder.layer2.0.bn2.weight
[debug] trainable: encoder.layer2.0.bn2.bias
[debug] trainable: encoder.layer2.0.shortcut.0.weight
[debug] trainable: encoder.layer2.0.shortcut.1.weight
[debug] trainable: encoder.layer2.0.shortcut.1.bias
[debug] trainable: encoder.layer2.1.conv1.weight
[debug] trainable: encoder.layer2.1.bn1.weight
[debug] trainable: encoder.layer2.1.bn1.bias
[debug] trainable: encoder.layer2.1.conv2.weight
[debug] trainable: encoder.layer2.1.bn2.weight
[debug] trainable: encoder.layer2.1.bn2.bias
[debug] trainable: encoder.layer2.2.conv1.weight
[debug] trainable: encoder.layer2.2.bn1.weight
[debug] trainable: encoder.layer2.2.bn1.bias
[debug] trainable: encoder.layer2.2.conv2.weight
[debug] trainable: encoder.layer2.2.bn2.weight
[debug] trainable: encoder.layer2.2.bn2.bias
[debug] trainable: encoder.layer2.3.conv1.weight
[debug] trainable: encoder.layer2.3.bn1.weight
[debug] trainable: encoder.layer2.3.bn1.bias
[debug] trainable: encoder.layer2.3.conv2.weight
[debug] trainable: encoder.layer2.3.bn2.weight
[debug] trainable: encoder.layer2.3.bn2.bias
[debug] trainable: encoder.layer3.0.conv1.weight
[debug] trainable: encoder.layer3.0.bn1.weight
[debug][warn] non-LoRA trainables detected: ['encoder.conv1.weight', 'encoder.bn1.weight', 'encoder.bn1.bias', 'encoder.layer1.0.conv1.weight', 'encoder.layer1.0.bn1.weight', 'encoder.layer1.0.bn1.bias', 'encoder.layer1.0.conv2.weight', 'encoder.layer1.0.bn2.weight', 'encoder.layer1.0.bn2.bias', 'encoder.layer1.1.conv1.weight']
  0%|          | 0/500 [00:00<?, ?it/s]/home/shaokun/PALM/trainer.py:105: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
  0%|          | 1/500 [00:55<7:45:37, 55.99s/it]  0%|          | 2/500 [01:22<5:21:20, 38.72s/it]  1%|          | 3/500 [01:49<4:35:56, 33.31s/it]  1%|          | 4/500 [02:16<4:15:00, 30.85s/it]  1%|          | 5/500 [02:43<4:01:31, 29.28s/it]  1%|          | 6/500 [03:09<3:53:02, 28.30s/it]  1%|▏         | 7/500 [03:36<3:49:45, 27.96s/it]  2%|▏         | 8/500 [04:03<3:47:22, 27.73s/it]  2%|▏         | 9/500 [04:31<3:45:13, 27.52s/it]  2%|▏         | 10/500 [04:58<3:43:39, 27.39s/it]  2%|▏         | 11/500 [05:24<3:39:59, 26.99s/it]  2%|▏         | 12/500 [05:51<3:39:09, 26.95s/it]  3%|▎         | 13/500 [06:17<3:38:29, 26.92s/it]  3%|▎         | 14/500 [06:44<3:38:09, 26.93s/it]  3%|▎         | 15/500 [07:11<3:36:26, 26.78s/it]  3%|▎         | 16/500 [07:37<3:35:44, 26.75s/it]  3%|▎         | 17/500 [08:04<3:34:59, 26.71s/it]  4%|▎         | 18/500 [08:31<3:36:07, 26.90s/it]  4%|▍         | 19/500 [08:59<3:36:08, 26.96s/it]  4%|▍         | 20/500 [09:25<3:34:30, 26.81s/it]  4%|▍         | 21/500 [09:52<3:34:15, 26.84s/it]  4%|▍         | 22/500 [10:19<3:34:04, 26.87s/it]  5%|▍         | 23/500 [10:46<3:33:36, 26.87s/it]  5%|▍         | 24/500 [11:12<3:32:12, 26.75s/it]  5%|▌         | 25/500 [11:39<3:31:13, 26.68s/it]  5%|▌         | 26/500 [12:06<3:31:47, 26.81s/it]  5%|▌         | 27/500 [12:33<3:31:11, 26.79s/it]  6%|▌         | 28/500 [12:59<3:30:54, 26.81s/it]  6%|▌         | 29/500 [13:26<3:30:14, 26.78s/it]  6%|▌         | 30/500 [13:53<3:29:40, 26.77s/it]  6%|▌         | 31/500 [14:20<3:29:13, 26.77s/it]  6%|▋         | 32/500 [14:46<3:28:23, 26.72s/it]  7%|▋         | 33/500 [15:16<3:36:02, 27.76s/it]  7%|▋         | 34/500 [15:52<3:54:14, 30.16s/it]  7%|▋         | 35/500 [16:29<4:09:03, 32.14s/it]  7%|▋         | 36/500 [17:04<4:16:08, 33.12s/it]  7%|▋         | 37/500 [17:40<4:22:07, 33.97s/it]  8%|▊         | 38/500 [18:16<4:25:45, 34.52s/it]  8%|▊         | 39/500 [18:51<4:26:52, 34.73s/it]  8%|▊         | 40/500 [19:26<4:27:03, 34.83s/it][loss] ep 0 it 0 total=12.8374 mle=6.4410 pcon=6.3964 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 0 it 50 total=12.4895 mle=6.0935 pcon=6.3959 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 12 total=12.2928 mle=5.8968 pcon=6.3960 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 1 it 62 total=12.0563 mle=5.6613 pcon=6.3950 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 24 total=11.8726 mle=5.4792 pcon=6.3934 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 2 it 74 total=11.7442 mle=5.3532 pcon=6.3910 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 3 it 36 total=11.5874 mle=5.1995 pcon=6.3879 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 3 it 86 total=11.4643 mle=5.0804 pcon=6.3839 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 4 it 48 total=11.3450 mle=4.9659 pcon=6.3791 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 5 it 10 total=11.1991 mle=4.8258 pcon=6.3734 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 5 it 60 total=11.1236 mle=4.7570 pcon=6.3666 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 6 it 22 total=10.9518 mle=4.5930 pcon=6.3588 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 6 it 72 total=10.9081 mle=4.5580 pcon=6.3501 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
[loss] ep 7 it 34 total=10.7626 mle=4.4218 pcon=6.3408 forget=0.0000 nr=512 nf=0 centers=None P=None dmin_norm=NA
