nohup: ignoring input
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Namespace(in_dataset='CIFAR-100', out_datasets=['inat', 'sun50', 'places50', 'dtd'], backbone='resnet34', method='top5-palm-cache6-ema0.999', seed=1, gpu='0', epochs=50, batch_size=128, lr=0.001, weight_decay=0.0001, print_every=50, fine_tune=False, temp=0.08, cosine=True, warm=False, lr_decay_epochs='700,800,900', lr_decay_rate=0.1, layers=100, depth=40, width=4, growth=12, droprate=0.0, save_path='CIFAR-10-ResNet18.pt', load_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt', reduce=0.5, score='mahalanobis', threshold=1.0, k=5, momentum=0.9, proto_m=0.999, cache_size=6, nviews=2, lambda_pcon=1.0, epsilon=0.05, incremental=False, use_lora=True, lora_impl='peft', lora_r=8, lora_alpha=32, lora_dropout=0.05, lora_target='both', adapter_save_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.5-lora_r8a32d0.05-temp0.08-fpw1.0-forget_avgproto_enable-planB_adapter', adapter_load_path=None, forget_classes='0,8,11,40,51,66,67,88,94,57', forget_list_path=None, forget_lambda=0.5, forget_margin=100.0, centers_path=None, precision_path=None, batch_forget_mode='balanced', forget_proto_enable=False, forget_attr_w=1.0, forget_proto_rep_w=1.0, forget_avgproto_enable=True, forget_avgproto_w=1.0, umap_enable=False, umap_by='domain', umap_max_points=20000, umap_neighbors=15, umap_min_dist=0.05, umap_metric='cosine', umap_save_path=None, umap_rf_only=False, keep_cache=False, argument=True)
Files already downloaded and verified
ckpt loaded from checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt
resnet34-top5-palm-cache6-ema0.999: Number of model parameters: 21843904
[debug] trainable_count = 16
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_B.default.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_A.default.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_B.default.weight
[debug] trainable: base_model.model.head.2.lora_A.default.weight
[debug] trainable: base_model.model.head.2.lora_B.default.weight
[debug][warn] non-LoRA trainables detected: ['base_model.model.encoder.layer4.0.conv1.lora_A.default.weight', 'base_model.model.encoder.layer4.0.conv1.lora_B.default.weight', 'base_model.model.encoder.layer4.0.conv2.lora_A.default.weight', 'base_model.model.encoder.layer4.0.conv2.lora_B.default.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_A.default.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_B.default.weight', 'base_model.model.encoder.layer4.1.conv1.lora_A.default.weight', 'base_model.model.encoder.layer4.1.conv1.lora_B.default.weight', 'base_model.model.encoder.layer4.1.conv2.lora_A.default.weight', 'base_model.model.encoder.layer4.1.conv2.lora_B.default.weight']
  0%|          | 0/50 [00:00<?, ?it/s]  2%|▏         | 1/50 [00:20<16:23, 20.06s/it]  4%|▍         | 2/50 [00:36<14:13, 17.78s/it]  6%|▌         | 3/50 [00:52<13:15, 16.92s/it]  8%|▊         | 4/50 [01:08<12:47, 16.69s/it] 10%|█         | 5/50 [01:24<12:19, 16.43s/it] 12%|█▏        | 6/50 [01:40<11:54, 16.24s/it] 14%|█▍        | 7/50 [01:55<11:27, 15.99s/it] 16%|█▌        | 8/50 [02:11<11:10, 15.96s/it][loss] ep 0 it 0 total=9.4025 mle=1.5707 pcon=5.2950 forget=3.4386 favg=-0.9019 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 50 total=9.2236 mle=1.5427 pcon=5.2879 forget=3.5033 favg=-1.1104 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 100 total=9.3596 mle=1.7004 pcon=5.2809 forget=3.4350 favg=-1.0566 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 150 total=9.4804 mle=1.8998 pcon=5.2738 forget=3.4240 favg=-1.1172 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 200 total=9.4471 mle=1.7129 pcon=5.2670 forget=3.4564 favg=-0.9893 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 250 total=9.1670 mle=1.5019 pcon=5.2603 forget=3.4458 favg=-1.0410 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 300 total=9.3543 mle=1.5598 pcon=5.2540 forget=3.4546 favg=-0.9141 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 0 it 350 total=9.2757 mle=1.6806 pcon=5.2476 forget=3.4735 favg=-1.1260 nr=64 nf=64 protos=540 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.5-lora_r8a32d0.05-temp0.08-fpw1.0-forget_avgproto_enable-planB_adapter
[loss] ep 1 it 10 total=9.2590 mle=1.6718 pcon=5.2409 forget=3.5241 favg=-1.1777 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 60 total=9.2345 mle=1.6370 pcon=5.2346 forget=3.4166 favg=-1.0537 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 110 total=9.1974 mle=1.5170 pcon=5.2284 forget=3.4716 favg=-1.0195 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 160 total=9.3962 mle=1.7800 pcon=5.2224 forget=3.4700 favg=-1.0762 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 210 total=9.2303 mle=1.7657 pcon=5.2165 forget=3.4580 favg=-1.2100 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 260 total=9.1094 mle=1.6012 pcon=5.2110 forget=3.4076 favg=-1.1104 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 310 total=8.9763 mle=1.7168 pcon=5.2052 forget=3.4282 favg=-1.3740 nr=64 nf=64 protos=540 fproto_sim=NA
[loss] ep 1 it 360 total=8.4380 mle=1.7953 pcon=5.1996 forget=3.4392 favg=-1.9961 nr=64 nf=64 protos=540 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.5-lora_r8a32d0.05-temp0.08-fpw1.0-forget_avgproto_enable-planB_adapter
[loss] ep 2 it 20 total=7.4245 mle=1.5429 pcon=5.1938 forget=3.4436 favg=-2.7559 nr=64 nf=64 protos=540 fproto_sim=NA
