nohup: ignoring input
==== Stage 1: forget_inc={0,8,11,40,51}; forget_seen={}; all={0,8,11,40,51,66,67,88,94,57} ====
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Namespace(in_dataset='CIFAR-100', out_datasets=['inat', 'sun50', 'places50', 'dtd'], backbone='resnet34', method='top5-palm-cache6-ema0.999', seed=1, gpu='0', epochs=50, batch_size=128, lr=0.001, weight_decay=0.0001, print_every=50, fine_tune=False, temp=0.08, cosine=True, warm=False, lr_decay_epochs='700,800,900', lr_decay_rate=0.1, layers=100, depth=40, width=4, growth=12, droprate=0.0, save_path='CIFAR-10-ResNet18.pt', load_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt', reduce=0.5, score='mahalanobis', threshold=1.0, k=5, momentum=0.9, proto_m=0.999, cache_size=6, nviews=2, lambda_pcon=1.0, epsilon=0.05, incremental=False, use_lora=True, lora_impl='peft', lora_r=8, lora_alpha=32, lora_dropout=0.05, lora_target='both', adapter_save_path='checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1', adapter_load_path=None, adapter_load_paths=None, lora_new_adapter_name='train_s1', lora_stack=True, lora_orth_enable=True, lora_orth_lambda=0.1, forget_classes='0,8,11,40,51,66,67,88,94,57', forget_list_path=None, forget_classes_inc='0,8,11,40,51', forget_classes_seen=None, forget_lambda=0.2, forget_margin=100.0, forget_strategy='proto', centers_path=None, precision_path=None, batch_forget_mode='balanced', forget_proto_enable=False, forget_attr_w=1.0, forget_proto_rep_w=1.0, forget_avgproto_enable=True, forget_avgproto_w=1.0, umap_enable=False, umap_by='domain', umap_max_points=20000, umap_neighbors=15, umap_min_dist=0.05, umap_metric='cosine', umap_save_path=None, umap_rf_only=False, keep_cache=False, argument=True)
Files already downloaded and verified
ckpt loaded from checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-with-prototypes.pt
[peft] added trainable adapter 'train_s1'
[peft] set_adapter(list) failed: unhashable type: 'list'; fallback to last adapter
[peft] active adapter set to: train_s1
resnet34-top5-palm-cache6-ema0.999: Number of model parameters: 22082496
[debug] trainable_count = 16
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.0.shortcut.0.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.1.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv1.lora_B.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_A.train_s1.weight
[debug] trainable: base_model.model.encoder.layer4.2.conv2.lora_B.train_s1.weight
[debug] trainable: base_model.model.head.2.lora_A.train_s1.weight
[debug] trainable: base_model.model.head.2.lora_B.train_s1.weight
[debug][warn] non-LoRA trainables detected: ['base_model.model.encoder.layer4.0.conv1.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.conv1.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.0.conv2.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.conv2.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.0.shortcut.0.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.1.conv1.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.1.conv1.lora_B.train_s1.weight', 'base_model.model.encoder.layer4.1.conv2.lora_A.train_s1.weight', 'base_model.model.encoder.layer4.1.conv2.lora_B.train_s1.weight']
  0%|          | 0/50 [00:00<?, ?it/s]  2%|▏         | 1/50 [01:02<50:49, 62.24s/it]  4%|▍         | 2/50 [01:49<42:30, 53.14s/it]  6%|▌         | 3/50 [02:37<39:57, 51.01s/it]  8%|▊         | 4/50 [03:30<39:44, 51.83s/it] 10%|█         | 5/50 [04:31<41:13, 54.97s/it] 12%|█▏        | 6/50 [05:31<41:46, 56.96s/it] 14%|█▍        | 7/50 [06:29<41:01, 57.26s/it] 16%|█▌        | 8/50 [07:19<38:28, 54.97s/it][loss] ep 0 it 0 total=8.3436 mle=2.1071 pcon=5.2951 forget=1.4584 favg=-0.5171 nr=28 nf=28 protos=570 fproto_sim=NA
[loss] ep 0 it 50 total=7.8326 mle=1.6917 pcon=5.2908 forget=1.4585 favg=-0.6084 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 0 it 100 total=8.0912 mle=1.9220 pcon=5.2867 forget=1.4772 favg=-0.5947 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 0 it 150 total=8.4334 mle=2.2573 pcon=5.2827 forget=1.4276 favg=-0.5342 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 0 it 200 total=8.3608 mle=2.2337 pcon=5.2787 forget=1.4568 favg=-0.6084 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 0 it 250 total=7.7068 mle=1.5968 pcon=5.2747 forget=1.4477 favg=-0.6123 nr=34 nf=34 protos=570 fproto_sim=NA
[loss] ep 0 it 300 total=7.9811 mle=1.7073 pcon=5.2707 forget=1.4297 favg=-0.4265 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 0 it 350 total=8.0872 mle=1.7468 pcon=5.2669 forget=1.5067 favg=-0.4331 nr=34 nf=34 protos=570 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1
[loss] ep 1 it 10 total=8.2181 mle=1.9761 pcon=5.2631 forget=1.4608 favg=-0.4819 nr=41 nf=41 protos=570 fproto_sim=NA
[loss] ep 1 it 60 total=8.3713 mle=2.0225 pcon=5.2595 forget=1.4663 favg=-0.3770 nr=26 nf=26 protos=570 fproto_sim=NA
[loss] ep 1 it 110 total=8.0596 mle=2.0181 pcon=5.2558 forget=1.4360 favg=-0.6504 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 1 it 160 total=8.0854 mle=1.8492 pcon=5.2521 forget=1.5105 favg=-0.5264 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 1 it 210 total=8.2430 mle=2.0064 pcon=5.2486 forget=1.4229 favg=-0.4348 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 1 it 260 total=7.9802 mle=1.8233 pcon=5.2449 forget=1.4751 favg=-0.5630 nr=30 nf=30 protos=570 fproto_sim=NA
[loss] ep 1 it 310 total=7.8290 mle=1.7031 pcon=5.2415 forget=1.4303 favg=-0.5459 nr=36 nf=36 protos=570 fproto_sim=NA
[loss] ep 1 it 360 total=8.1550 mle=2.0522 pcon=5.2378 forget=1.4046 favg=-0.5396 nr=33 nf=33 protos=570 fproto_sim=NA
[peft] adapter saved to checkpoints/CIFAR-100-resnet34-top5-palm-cache6-ema0.999-b128-e50-lr0.001-wd1e-4-ltboth-bfmbalanced-fl0.2-lora_r8a32d0.05-temp0.08-stack/stage1
[loss] ep 2 it 20 total=7.7002 mle=1.5830 pcon=5.2342 forget=1.4787 favg=-0.5957 nr=38 nf=38 protos=570 fproto_sim=NA
[loss] ep 2 it 70 total=8.0739 mle=2.1088 pcon=5.2304 forget=1.4535 favg=-0.7188 nr=32 nf=32 protos=570 fproto_sim=NA
[loss] ep 2 it 120 total=7.6208 mle=1.8031 pcon=5.2266 forget=1.4007 favg=-0.8096 nr=40 nf=40 protos=570 fproto_sim=NA
[loss] ep 2 it 170 total=7.7968 mle=2.0101 pcon=5.2232 forget=1.4492 favg=-0.8857 nr=24 nf=24 protos=570 fproto_sim=NA
[loss] ep 2 it 220 total=7.9464 mle=2.4316 pcon=5.2197 forget=1.4582 favg=-1.1631 nr=27 nf=27 protos=570 fproto_sim=NA
[loss] ep 2 it 270 total=6.8167 mle=1.5951 pcon=5.2157 forget=1.4747 favg=-1.4688 nr=35 nf=35 protos=570 fproto_sim=NA
